Phalacrocorax harrisi
Phalacrocorax varius
Phalacrocorax brasilianus
Phalacrocorax fuscescens
Phaethon lepturus
Phaethon aethereus
Phaethon rubricauda
Pelecanus thagus
Pelecanus conspicillatus
Pelecanus onocrotalus
Pelecanus occidentalis
Pelecanus crispus
Pelecanus erythrorhynchos
Pelecanus rufescens
Pelecanus philippensis
Larus occidentalis
Larus hyperboreus
Larus heermanni
Larus livens
Larus canus
Larus glaucoides
Larus delawarensis
Larus schistisagus
Larus marinus
Larus crassirostris
Larus belcheri
Larus fuscus
Larus californicus
Larus dominicanus
Larus cachinnans
Larus pacificus
Larus glaucescens
Cepphus columba
Cepphus grylle
Sterna dougallii
Sterna paradisaea
Sterna hirundo
Sterna sumatrana
Sterna forsteri
Sterna striata
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Rissa tridactyla
Rynchops niger
Alca torda
Fratercula arctica
Fratercula corniculata
Fratercula cirrhata
Chlidonias niger
Chlidonias leucopterus
Uria lomvia
Uria aalge
Brachyramphus marmoratus
Anous stolidus
Anous minutus
Aethia
Ptychoramphus aleuticus
Larosterna inca
Cerorhinca monocerata
Creagrus furcatus
Gygis alba
Phaetusa simplex
Xema sabini
Metopidius indicus
Jacana spinosa
Jacana jacana
Irediparra gallinacea
Actophilornis africanus
Hydrophasianus chirurgus
Cursorius
Glareola maldivarum
Glareola pratincola
Gavia pacifica
Gavia arctica
Gavia immer
Gavia stellata
Fregata magnificens
Fregata minor
Falco vespertinus
Falco subbuteo
Falco mexicanus
Falco femoralis
Falco peregrinus
Falco rusticolus
Falco longipennis
Falco rufigularis
Falco sparverius
Falco columbarius
Falco berigora
Falco cenchroides
Falco biarmicus
Falco amurensis
Falco novaeseelandiae
Micrastur semitorquatus
Phalcoboenus carunculatus
Phalcoboenus megalopterus
Caracara cheriway
Caracara plancus
Daptrius ater
Herpetotheres cachinnans
Milvago chimachima
Milvago chimango
Ciconia abdimii
Ciconia ciconia
Ciconia nigra
Ciconia episcopus
Ciconia boyciana
Ciconia maguari
Mycteria americana
Mycteria leucocephala
Mycteria ibis
Vultur gryphus
Leptoptilos javanicus
Ephippiorhynchus asiaticus
Ephippiorhynchus senegalensis
Cathartes aura
Cathartes burrovianus
Sarcoramphus papa
Coragyps atratus
Jabiru mycteria
Anastomus oscitans
Anastomus lamelligerus
Gymnogyps californianus
Charadrius mongolus
Charadrius alexandrinus
Charadrius vociferus
Charadrius wilsonia
Charadrius melodus
Charadrius hiaticula
Charadrius ruficapillus
Charadrius montanus
Charadrius tricollaris
Charadrius marginatus
Charadrius collaris
Charadrius dubius
Charadrius leschenaultii
Charadrius semipalmatus
Charadrius bicinctus
Charadrius pecuarius
Charadrius obscurus
Himantopus leucocephalus
Himantopus himantopus
Himantopus mexicanus
Haematopus bachmani
Haematopus moquini
Haematopus palliatus
Haematopus ostralegus
